CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1078	1240	18	0.8932	43.990
1240	4386	18	0.9265	-43.990
1071	4386	18	0.8898	15.995
1078	4386	18	0.954	0.000
1064	1240	18	0.8914	15.995
910	3278	20	0.7688	-58.079
3321	7306	20	0.9439	17.033
3278	6936	20	0.8071	-0.015
6959	14946	20	0.7912	-158.167
910	3324	20	0.7656	-200.105
6959	8451	20	0.918	28.032
3278	3339	20	0.818	-14.016
910	5205	20	0.7693	-170.144
11143	11395	20	0.8418	14.017
11392	11413	20	0.7797	28.032
3278	4679	20	0.8083	-129.152
11377	11395	20	0.91	-17.027
3278	11377	20	0.7664	-100.088
11413	14907	20	0.8972	-214.121
11392	14946	20	0.763	-14.015
11129	11377	20	0.8842	14.017
4679	11129	20	0.7639	15.047
11143	14946	20	0.7713	-214.120
9933	11377	20	0.7785	0.037
3305	6959	20	0.8983	-17.027
8451	14967	20	0.8263	28.032
8451	11047	20	0.9435	17.027
11395	11413	20	0.7662	-186.090
3324	7306	20	0.9894	0.006
14907	14946	20	0.764	172.074
3321	3324	20	0.9416	17.027
11129	11143	20	0.8793	-17.027
4679	11377	20	0.7418	29.064
910	7306	20	0.7614	-200.098
11129	14946	20	0.7922	-231.147
3278	11129	20	0.7663	-114.105
3305	11047	20	0.8649	28.032
11143	11377	20	0.7635	31.043
6630	6638	21	0.8232	15.996
6471	6638	21	0.8465	162.053
579	654	23	0.8568	-13.979
654	703	23	0.8654	-0.001
579	703	23	0.8494	-13.981
4955	8757	24	0.7503	212.070
445	4056	24	0.7077	-18.010
4056	9919	24	0.7172	0.000
445	4955	24	0.7347	0.000
4704	9642	25	0.9068	-391.243
12299	12818	25	0.9194	0.465
6381	8308	25	0.9553	0.093
2107	12396	25	0.8866	21.984
3020	8308	25	0.9596	0.057
12818	12921	25	0.9056	0.550
3362	14012	25	0.9207	-0.403
3362	12921	25	0.907	0.587
2689	3020	25	0.9376	0.983
8289	8431	25	0.8874	-135.117
3020	8289	25	0.942	0.057
7636	12818	25	0.9168	-0.550
7636	9481	25	0.9071	-0.587
880	1897	25	0.9747	-0.000
4704	5210	25	0.9128	-121.008
7979	8308	25	0.9489	0.035
8308	8431	25	0.902	-135.117
8308	13915	25	0.9491	-1.040
3362	12299	25	0.9196	-0.429
6991	12921	25	0.9253	-0.445
3020	6381	25	0.9909	-0.036
880	13915	25	0.9247	0.036
7086	9642	25	0.898	-160.053
880	3020	25	0.9071	1.020
8308	9642	25	0.8948	-391.300
2689	4704	25	0.9299	0.983
880	4704	25	0.8962	1.020
8289	8308	25	0.9871	0.000
1897	6071	25	0.9746	-0.000
880	8308	25	0.8936	1.077
