	pfcode	family_desc	genus_desc	species_desc	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family
7739	https://www.sinergiawolfender.org/jlw/V107840	Magnoliaceae	Magnolia	"Magnolia ernestii subsp. szechuanica (re-ranked as ""species"", was ""subspecies"" in ott3.3) (re-ranked as ""species"", was ""species"" in ott3.3)"	0.0	1715.0	1929.0
7740	https://www.sinergiawolfender.org/jlw/V107841	Symplocaceae	Symplocos	Symplocos stellaris	0.0	332.0	334.0
7741	https://www.sinergiawolfender.org/jlw/V107842	Symplocaceae	Symplocos	Symplocos stellaris	0.0	332.0	334.0
7742	https://www.sinergiawolfender.org/jlw/V107843	Fabaceae	Amorpha	Amorpha fruticosa	136.0	148.0	59372.0
7743	https://www.sinergiawolfender.org/jlw/V107844	Salicaceae	Idesia	Idesia polycarpa	10.0	10.0	2946.0
7744	https://www.sinergiawolfender.org/jlw/V107845	Salicaceae	Carrierea	Carrierea calycina	0.0	0.0	2946.0
7745	https://www.sinergiawolfender.org/jlw/V107846	Salicaceae	Carrierea	Carrierea calycina	0.0	0.0	2946.0
7746	https://www.sinergiawolfender.org/jlw/V107847	Salicaceae	Carrierea	Carrierea calycina	0.0	0.0	2946.0
7747	https://www.sinergiawolfender.org/jlw/V107848	Asteraceae	Petasites	Petasites japonicus	269.0	737.0	96094.0
7748	https://www.sinergiawolfender.org/jlw/V107849	Poaceae	Echinochloa	Echinochloa crus-galli	0.0	5.0	4877.0
7749	https://www.sinergiawolfender.org/jlw/V107850	Poaceae	Echinochloa	Echinochloa colona	0.0	5.0	4877.0
7750	https://www.sinergiawolfender.org/jlw/V107851	Rubiaceae	Ophiorrhiza	Ophiorrhiza japonica	13.0	269.0	10467.0
7751	https://www.sinergiawolfender.org/jlw/V107852	Gesneriaceae	Hemiboea	Hemiboea gracilis	0.0	0.0	388.0
7752	https://www.sinergiawolfender.org/jlw/V107853	Caprifoliaceae	Weigela	Weigela japonica	2.0	23.0	3385.0
7753	https://www.sinergiawolfender.org/jlw/V107854	Caprifoliaceae	Weigela	Weigela japonica	2.0	23.0	3385.0
7754	https://www.sinergiawolfender.org/jlw/V107855	Vitaceae	Tetrastigma	Tetrastigma obtectum	0.0	4.0	2607.0
7755	https://www.sinergiawolfender.org/jlw/V107856	Iteaceae	Itea	Itea omeiensis	4.0	54.0	54.0
7756	https://www.sinergiawolfender.org/jlw/V107857	Iteaceae	Itea	Itea omeiensis	4.0	54.0	54.0
7757	https://www.sinergiawolfender.org/jlw/V107858	Stachyuraceae	Stachyurus	Stachyurus chinensis	0.0	126.0	126.0
7758	https://www.sinergiawolfender.org/jlw/V107859	Stachyuraceae	Stachyurus	Stachyurus chinensis	0.0	126.0	126.0
7759	https://www.sinergiawolfender.org/jlw/V107860	Asteraceae	Myriactis	Myriactis nepalensis	0.0	14.0	96094.0
7760	https://www.sinergiawolfender.org/jlw/V107861	Torricelliaceae	Torricellia	Torricellia angulata	0.0	2.0	7.0
7761	https://www.sinergiawolfender.org/jlw/V107862	Torricelliaceae	Torricellia	Torricellia angulata	0.0	2.0	7.0
7762	https://www.sinergiawolfender.org/jlw/V107863	Torricelliaceae	Torricellia	Torricellia angulata	0.0	2.0	7.0
7763	https://www.sinergiawolfender.org/jlw/V107864	Stachyuraceae	Stachyurus	Stachyurus oblongifolius	0.0	126.0	126.0
7764	https://www.sinergiawolfender.org/jlw/V107865	Stachyuraceae	Stachyurus	Stachyurus oblongifolius	0.0	126.0	126.0
7765	https://www.sinergiawolfender.org/jlw/V107866	Urticaceae	Oreocnide	Oreocnide frutescens	16.0	20.0	477.0
7766	https://www.sinergiawolfender.org/jlw/V107867	Rhamnaceae	Hovenia	Hovenia acerba	0.0	128.0	2163.0
7767	https://www.sinergiawolfender.org/jlw/V107868	Asteraceae	Galinsoga	Galinsoga parviflora	8.0	21.0	96094.0
7768	https://www.sinergiawolfender.org/jlw/V107869	Ericaceae	Lyonia	Lyonia ovalifolia	35.0	35.0	4820.0
7769	https://www.sinergiawolfender.org/jlw/V107870	Brassicaceae	Rorippa	Rorippa dubia	0.0	44.0	5419.0
7770	https://www.sinergiawolfender.org/jlw/V107871	Theaceae	Polyspora	Polyspora speciosa	0.0	88.0	2404.0
7771	https://www.sinergiawolfender.org/jlw/V107872	Staphyleaceae	Euscaphis	Euscaphis japonica	61.0	61.0	132.0
7772	https://www.sinergiawolfender.org/jlw/V107873	Staphyleaceae	Euscaphis	Euscaphis japonica	61.0	61.0	132.0
