	pfcode	family_desc	genus_desc	species_desc	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family	LC
6412	https://www.sinergiawolfender.org/jlw/V106505	Casuarinaceae	Casuarina	Casuarina equisetifolia	43.0	86.0	120.0	0.9675
6413	https://www.sinergiawolfender.org/jlw/V106506	Euphorbiaceae	Ricinus	Ricinus communis	56.0	56.0	12356.0	0.7192799999999999
6414	https://www.sinergiawolfender.org/jlw/V106507	Euphorbiaceae	Ricinus	Ricinus communis	56.0	56.0	12356.0	0.7192799999999999
6415	https://www.sinergiawolfender.org/jlw/V106508	Poaceae	Zea	Zea mays	702.0	702.0	4877.0	0.48125999999999997
6416	https://www.sinergiawolfender.org/jlw/V106509	Simaroubaceae	Ailanthus	Ailanthus altissima	321.0	464.0	3260.0	0.7279
6417	https://www.sinergiawolfender.org/jlw/V106510	Simaroubaceae	Ailanthus	Ailanthus altissima	321.0	464.0	3260.0	0.7279
6418	https://www.sinergiawolfender.org/jlw/V106511	Ebenaceae	Diospyros	Diospyros kaki	292.0	2919.0	3049.0	0.50112
6419	https://www.sinergiawolfender.org/jlw/V106512	Ebenaceae	Diospyros	Diospyros kaki	292.0	2919.0	3049.0	0.50112
6420	https://www.sinergiawolfender.org/jlw/V106513	Ginkgoaceae	Ginkgo	Ginkgo biloba	894.0	894.0	894.0	0.44571999999999995
6421	https://www.sinergiawolfender.org/jlw/V106514	Ginkgoaceae	Ginkgo	Ginkgo biloba	894.0	894.0	894.0	0.44571999999999995
6422	https://www.sinergiawolfender.org/jlw/V106515	Moraceae	Morus	Morus alba	670.0	1567.0	6850.0	0.37129999999999996
6423	https://www.sinergiawolfender.org/jlw/V106516	Moraceae	Morus	Morus alba	670.0	1567.0	6850.0	0.37129999999999996
6424	https://www.sinergiawolfender.org/jlw/V106517	Moraceae	Morus	Morus alba	670.0	1567.0	6850.0	0.37129999999999996
